loc,v(g),uniq_Op,uniq_Opnd,total_Op,total_Opnd,defects
1.1,1.4,1.2,1.2,1.2,1.2,no
1,1,1,1,1,1,yes
415,59,47,106,692,467,yes
230,33,23,67,343,232,yes
175,26,18,58,310,190,yes
163,16,19,53,260,180,yes
152,11,18,50,256,176,yes
3,1,1,0,1,0,no
14,2,9,7,13,9,no
10,2,8,4,11,7,no
8,1,4,5,5,5,no
6,1,3,2,3,2,no
14,2,6,4,6,5,no
4,1,3,4,5,4,no
2,1,3,2,3,2,no
2,1,1,0,1,0,no
39,4,19,17,49,34,no
5,1,5,2,5,2,no
9,2,8,10,11,10,no
9,2,8,10,11,10,no
6,1,5,7,8,8,no
6,1,5,7,8,8,no
11,1,7,13,11,14,no
14,2,11,11,17,16,no
63,10,14,25,92,65,no
3,1,1,0,1,0,no
74,12,22,37,126,67,no
10,1,3,8,9,8,no
7,1,3,6,9,8,no
4,1,5,1,5,1,no
5,1,3,2,3,2,no
38,9,13,19,58,40,no
15,3,10,10,19,13,no
45,6,16,23,62,42,no
39,4,12,19,61,44,no
7,2,6,2,7,3,no
82,10,11,30,138,82,no
13,2,8,5,11,7,no
12,3,9,9,17,12,no
64,4,9,24,54,38,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
9,1,4,3,5,3,no
64,6,14,25,116,69,no
4,2,5,5,6,5,no
12,1,10,4,18,5,no
23,3,11,13,24,16,no
20,4,10,12,29,16,no
13,1,3,7,7,7,no
15,1,11,8,21,11,no
13,1,10,7,21,11,no
26,4,13,13,35,18,no
6,1,7,2,9,2,no
15,2,12,10,25,13,no
6,1,7,2,9,2,no
4,1,6,1,8,1,no
6,2,6,7,8,7,no
3,1,1,0,1,0,no
17,3,14,15,41,23,no
22,2,10,14,34,24,no
16,1,9,9,22,12,no
23,2,11,18,50,34,no
28,2,11,26,82,48,no
9,1,3,2,18,11,no
7,1,2,10,8,11,no
4,1,1,2,1,3,no
4,1,3,1,3,1,no
4,1,4,2,4,2,no
5,1,3,1,3,1,no
15,1,6,11,34,21,no
4,1,3,2,3,2,no
56,3,11,34,105,57,no
4,1,4,3,4,3,no
7,1,5,0,5,0,no
78,6,16,34,191,111,no
3,1,1,0,1,0,no
16,2,9,5,15,8,no
39,4,15,16,47,28,no
30,6,14,14,44,28,no
4,1,3,1,3,1,no
102,25,17,47,142,106,no
10,2,8,6,13,9,no
40,4,11,18,64,38,no
46,4,13,18,71,43,no
29,6,12,13,40,27,no
3,1,1,0,1,0,no
68,5,12,24,94,73,no
31,5,11,13,47,29,no
4,1,3,1,3,1,no
16,1,4,5,4,7,no
8,1,4,4,4,6,no
7,1,2,12,10,13,no
4,1,1,0,1,0,no
45,5,16,25,74,43,no
4,1,5,1,5,1,no
4,1,3,1,3,1,no
17,6,8,12,28,22,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
6,1,3,2,3,2,no
15,6,6,11,28,16,no
4,1,3,1,3,1,no
4,1,3,1,3,1,no
4,1,3,2,3,2,no
4,1,5,1,5,1,no
188,8,19,91,326,183,no
4,1,3,2,3,2,no
8,1,5,3,6,4,no
